name,realname,magnitude,prob,tectonic_type,batch,video,version,notes,planes
AhuririR,Ahuriri,6.97,0.81,Crustal,,,,,[[[-44.0704| 169.6993]| [-44.2128| 169.6231]| [-44.1894| 169.4389]| [-44.047| 169.5156]]| [[-44.2137| 169.6228]| [-44.2978| 169.6129]| [-44.2744| 169.4285]| [-44.1903| 169.4386]]| [[-44.2987| 169.6131]| [-44.4445| 169.691]| [-44.4211| 169.5061]| [-44.2752| 169.4287]]]
AkaOtaki,Aka-Otaki,7.13,0.74,Crustal,,,,,[[[-41.1214| 175.0421]| [-40.9838| 175.1498]| [-41.0289| 175.1917]| [-41.1665| 175.084]]| [[-40.983| 175.1504]| [-40.8838| 175.2248]| [-40.9289| 175.2667]| [-41.0282| 175.1923]]| [[-40.8831| 175.2255]| [-40.8004| 175.333]| [-40.8456| 175.3748]| [-40.9283| 175.2673]]| [[-40.7997| 175.3338]| [-40.6921| 175.4364]| [-40.7373| 175.4782]| [-40.8449| 175.3755]]]
Akatore,Akatore,7.14,1.43,Crustal,,,,,[[[-46.4197| 169.9952]| [-46.3556| 169.9639]| [-46.4225| 170.1324]| [-46.4866| 170.1639]]| [[-46.3547| 169.9638]| [-46.2923| 169.9687]| [-46.3592| 170.137]| [-46.4216| 170.1322]]| [[-46.2915| 169.9691]| [-46.2355| 170.0267]| [-46.3024| 170.1948]| [-46.3584| 170.1374]]| [[-46.2347| 170.0272]| [-46.2122| 170.0352]| [-46.2792| 170.2033]| [-46.3017| 170.1953]]| [[-46.2117| 170.036]| [-46.2053| 170.0615]| [-46.2722| 170.2295]| [-46.2786| 170.204]]| [[-46.2048| 170.0625]| [-46.1672| 170.1033]| [-46.2341| 170.2713]| [-46.2718| 170.2305]]| [[-46.1665| 170.1041]| [-46.1055| 170.1783]| [-46.1724| 170.3461]| [-46.2335| 170.272]]| [[-46.1047| 170.1788]| [-46.0923| 170.1819]| [-46.1592| 170.3496]| [-46.1716| 170.3465]]| [[-46.0915| 170.1824]| [-45.9855| 170.29]| [-46.0524| 170.4574]| [-46.1585| 170.3501]]| [[-45.9849| 170.2909]| [-45.9471| 170.3632]| [-46.014| 170.5305]| [-46.0519| 170.4582]]]
Albury,Albury,6.54,0.47,Crustal,,,,,[[[-44.0338| 170.7133]| [-44.198| 170.8078]| [-44.2307| 170.71]| [-44.0664| 170.6157]]]
AldermanE01,Aldermann-East (Segment 1),6.28,2.7,Volcanic,,,,,[[[-36.9803| 176.4478]| [-37.0645| 176.4198]| [-37.0259| 176.2874]| [-36.9418| 176.3156]]]
AldermanE02,Aldermann-East (Segment 2),6.5,1.65,Volcanic,,,,,[[[-36.9535| 176.4561]| [-37.0644| 176.3434]| [-36.9848| 176.2439]| [-36.8739| 176.3566]]]
AldermanE03,Aldermann-East (Segment 3),6.41,3.32,Volcanic,,,,,[[[-36.9386| 176.5328]| [-37.0478| 176.4766]| [-36.9914| 176.3546]| [-36.8823| 176.411]]]
AldermanE04,Aldermann-East (Segment 4),6.48,2.97,Volcanic,,,,,[[[-36.8436| 176.6328]| [-36.9644| 176.5549]| [-36.8998| 176.4398]| [-36.779| 176.5177]]]
AldermanE05,Aldermann-East (Segment 5),6.27,4.83,Volcanic,,,,,[[[-36.8834| 176.5477]| [-36.9428| 176.4718]| [-36.8565| 176.3815]| [-36.7972| 176.4573]]]
AldermanE06,Aldermann-East (Segment 6),6.57,1.73,Volcanic,,,,,[[[-36.7601| 176.7094]| [-36.8745| 176.5502]| [-36.7822| 176.4697]| [-36.6679| 176.6288]]]
AldermanE07,Aldermann-East (Segment 7),6.58,1.21,Volcanic,,,,,[[[-37.1966| 176.2141]| [-37.1087| 176.3998]| [-37.1561| 176.5278]| [-37.2441| 176.3421]]]
AldermanW01,Aldermann-West (Segment 1),6.56,0.45,Volcanic,,,,,[[[-37.093| 176.2822]| [-36.9355| 176.3385]| [-36.9714| 176.4719]| [-37.1289| 176.4158]]]
AldermanW02,Aldermann-West (Segment 2),6.48,0.32,Volcanic,,,,,[[[-36.9865| 176.3353]| [-36.9224| 176.3567]| [-37.0187| 176.4295]| [-37.0828| 176.4081]]| [[-36.9215| 176.3571]| [-36.8557| 176.39]| [-36.952| 176.4627]| [-37.0178| 176.4298]]]
AldermanW03,Aldermann-West (Segment 3),6.41,0.39,Volcanic,,,,,[[[-36.8784| 176.4057]| [-36.8604| 176.4797]| [-36.9517| 176.5618]| [-36.9698| 176.4878]]| [[-36.8599| 176.4806]| [-36.8206| 176.5248]| [-36.9119| 176.6069]| [-36.9512| 176.5627]]]
AldermanW04,Aldermann-West (Segment 4),6.3,0.48,Volcanic,,,,,[[[-36.8633| 176.4091]| [-36.8453| 176.4515]| [-36.896| 176.577]| [-36.914| 176.5347]]| [[-36.8448| 176.4524]| [-36.8104| 176.5016]| [-36.8611| 176.627]| [-36.8955| 176.5779]]]
AldermanW05,Aldermann-West (Segment 5),6.38,0.68,Volcanic,,,,,[[[-36.8047| 176.3723]| [-36.7071| 176.4334]| [-36.7381| 176.5684]| [-36.8357| 176.5074]]]
AlfMakuri,Makuri,7.11,2.85,Crustal,,,,,[[[-40.2637| 176.1947]| [-40.3946| 176.1251]| [-40.3803| 176.0929]| [-40.2495| 176.1625]]| [[-40.3953| 176.1246]| [-40.5263| 176.0069]| [-40.5121| 175.9746]| [-40.3812| 176.0923]]| [[-40.5268| 176.0061]| [-40.5547| 175.9404]| [-40.5405| 175.9081]| [-40.5127| 175.9738]]| [[-40.5554| 175.9397]| [-40.5662| 175.9335]| [-40.552| 175.9012]| [-40.5412| 175.9073]]| [[-40.5671| 175.9332]| [-40.5878| 175.93]| [-40.5737| 175.8976]| [-40.5529| 175.9008]]| [[-40.5887| 175.9296]| [-40.7479| 175.7935]| [-40.7337| 175.7612]| [-40.5745| 175.8972]]| [[-40.7484| 175.7927]| [-40.7665| 175.7121]| [-40.7523| 175.6797]| [-40.7342| 175.7603]]]
